Hand_ID,Session_ID,Game_start,Game_duration,Hole_Card,Hand_Value,Winner,Pot,WinLoss,Leaderboard_points,Insurance
SG3085,3085,"March 25, 2022, 12:00:00 AM",18:25,6C/4H,A High,Margaret Brown,0.5,0.68,0.25,0.4
SG3086,3086,"June 03, 2021, 12:00:00 AM",05:05,4D/JS,10 High,Dillon Webb,0.88,0.9,0.42,0.29
SG3087,3087,"May 10, 2022, 12:00:00 AM",04:35,AC/AS,A High,Jose Green,0.7,0.12,0.72,0.73
SG3088,3088,"September 09, 2021, 12:00:00 AM",16:15,2H/AS,Pair of As,Paul Brooks,0.66,0.57,0.95,0.93
SG3089,3089,"May 04, 2022, 12:00:00 AM",15:10,9D/2D,A High,Janice Ochoa,0.4,0.54,0.89,0.26
SG3090,3090,"September 13, 2021, 12:00:00 AM",07:30,JH/AC,Pair of As,Rebecca Johnson,0.53,0.17,0.91,0.18
SG3091,3091,"November 24, 2021, 12:00:00 AM",13:25,2S/10D,10 High,Melinda Beck,0.4,0.19,0.19,0.55
SG3092,3092,"July 18, 2021, 12:00:00 AM",09:45,3S/8D,Pair of 2s,April Hansen,0.54,0.15,0.74,0.38
SG3093,3093,"February 04, 2022, 12:00:00 AM",22:30,2S/8D,A High,Shannon Martin,0.51,0.03,0.18,0.55
SG3094,3094,"August 30, 2021, 12:00:00 AM",22:40,3H/AS,A High,David Scott,0.47,0.85,0.42,0.79
SG3095,3095,"April 13, 2022, 12:00:00 AM",23:30,QC/2S,Pair of 2s,Jonathan Hayes,0.28,0.73,0.33,0.72
SG3096,3096,"August 13, 2021, 12:00:00 AM",17:15,KD/3H,10 High,Gina Meyer,0.67,0.94,0.86,0.98
SG3097,3097,"September 16, 2021, 12:00:00 AM",17:15,10S/7D,Pair of 2s,Gary Taylor,0.85,0.17,0.31,0.31
SG3098,3098,"July 16, 2021, 12:00:00 AM",11:25,3S/7S,Pair of 2s,William Brown,0.65,0.37,0.11,0.5
SG3099,3099,"November 22, 2021, 12:00:00 AM",23:00,8D/KS,Pair of 2s,Jared Luna,0.18,0.82,0.36,0.59
SG3100,3100,"April 24, 2022, 12:00:00 AM",18:55,4H/KD,Pair of As,Lauren Lopez,0.02,0.27,0.77,0.29
SG3101,3101,"April 28, 2022, 12:00:00 AM",11:25,8H/5H,A High,William Hines,0.21,0.03,0.53,0.85
SG3102,3102,"January 15, 2022, 12:00:00 AM",07:10,6H/AC,8 High,Aaron Dixon,0.87,0.51,0.75,0.54
SG3103,3103,"December 29, 2021, 12:00:00 AM",17:45,6S/9S,8 High,Alexander Roberts,0.02,0.95,0.04,0.64
SG3104,3104,"February 27, 2022, 12:00:00 AM",13:15,7C/9C,A High,Randy Valdez,0.14,0.24,0.74,0.94
SG3105,3105,"September 02, 2021, 12:00:00 AM",20:40,7C/7H,A High,Luke Forbes DDS,0.79,0.32,0.79,0.47
SG3106,3106,"February 17, 2022, 12:00:00 AM",17:00,JC/QC,10 High,Lisa Nichols,0.2,0.87,0.28,0.48
SG3107,3107,"February 16, 2022, 12:00:00 AM",10:35,6C/5C,A High,John Vang,0.84,0.49,0.59,0.62
SG3108,3108,"August 10, 2021, 12:00:00 AM",20:30,6H/QS,Pair of 2s,Mary Neal,0.94,0.14,0.93,0.5
SG3109,3109,"January 19, 2022, 12:00:00 AM",16:40,AS/JC,A High,Charles Bartlett,0.14,0.33,0.84,0.93
SG3110,3110,"November 10, 2021, 12:00:00 AM",21:15,5C/JC,8 High,Jason Rodriguez,0.3,0.69,0.86,0.59
SG3111,3111,"April 08, 2022, 12:00:00 AM",09:15,3C/3S,A High,Mercedes Anderson,0.45,0.45,0.72,0.99
SG3112,3112,"October 20, 2021, 12:00:00 AM",20:10,6H/6H,10 High,Barbara Jackson,0.85,0.53,0.68,0.31
SG3113,3113,"November 27, 2021, 12:00:00 AM",12:45,5D/8C,Pair of 2s,Christina Johnson,0.64,0.29,0.91,0.37
SG3114,3114,"May 19, 2022, 12:00:00 AM",11:45,KH/QH,10 High,Charles Brown,0.91,0.46,0.13,0.71
SG3115,3115,"October 03, 2021, 12:00:00 AM",03:35,2S/7C,8 High,Christopher Rice,0.25,0.65,0.89,0.15
SG3116,3116,"May 14, 2022, 12:00:00 AM",20:10,7H/2C,8 High,Brittany Vincent,0.28,0.45,0.3,0.81
SG3117,3117,"October 19, 2021, 12:00:00 AM",13:05,QS/8S,Pair of 2s,Mrs. Sydney Hicks,0.75,0.07,0.14,0.95
SG3118,3118,"March 23, 2022, 12:00:00 AM",13:40,2H/JH,10 High,Chad Wilkins,0.14,0.62,0.81,0.05
SG3119,3119,"July 11, 2021, 12:00:00 AM",16:55,QH/7H,Pair of 2s,David Dean,0.38,0.06,0.79,0.78
SG3120,3120,"July 19, 2021, 12:00:00 AM",08:20,5D/5D,10 High,Kevin Hill,0.16,0.74,0.33,0.08
SG3121,3121,"January 04, 2022, 12:00:00 AM",02:35,3D/3D,Pair of 2s,Jennifer Melton,0.55,0.17,0.22,0.79
SG3122,3122,"January 21, 2022, 12:00:00 AM",23:05,9H/QS,8 High,Dustin Rosario,0.72,0.25,0.86,0.94
SG3123,3123,"March 09, 2022, 12:00:00 AM",03:45,3S/10H,10 High,Christopher Bright,0.76,0.25,0.66,0.82
SG3124,3124,"May 14, 2022, 12:00:00 AM",09:10,QD/8C,10 High,Elizabeth Odom,0.99,0.91,0.62,0.41
SG3125,3125,"May 20, 2022, 12:00:00 AM",00:30,6H/3D,Pair of As,Shari Anderson,0.52,0.52,0.33,0.52
SG3126,3126,"April 20, 2022, 12:00:00 AM",21:10,9H/7S,A High,Debbie Jennings,0.45,0.2,0.02,0.63
SG3127,3127,"July 01, 2021, 12:00:00 AM",14:45,7H/4H,Pair of As,Laura Sanchez,0.68,0.01,0.18,1.0
SG3128,3128,"July 24, 2021, 12:00:00 AM",06:40,5H/10C,Pair of As,Patricia White,0.41,0.64,0.3,0.53
SG3129,3129,"October 09, 2021, 12:00:00 AM",23:40,4D/6C,8 High,Mary Bowers,0.99,0.42,0.45,0.28
SG3130,3130,"March 05, 2022, 12:00:00 AM",09:00,10S/6H,Pair of 2s,Rachel Nguyen,0.38,0.17,0.25,0.25
SG3131,3131,"September 22, 2021, 12:00:00 AM",02:40,KS/3C,Pair of As,John Carpenter,0.47,0.87,0.63,0.04
SG3132,3132,"February 23, 2022, 12:00:00 AM",17:40,7D/AS,8 High,Heather Sanders,0.42,0.91,0.22,0.78
SG3133,3133,"December 26, 2021, 12:00:00 AM",06:30,JH/QH,8 High,William Moore,0.33,0.87,0.92,0.87
SG3134,3134,"May 07, 2022, 12:00:00 AM",17:00,AS/2H,10 High,Sabrina Hill,0.36,0.73,0.28,0.04
SG3135,3135,"July 21, 2021, 12:00:00 AM",15:00,9H/QC,A High,Elizabeth Roy,0.17,0.8,0.95,0.45
SG3136,3136,"April 14, 2022, 12:00:00 AM",04:00,QC/7S,Pair of As,Matthew Palmer,0.94,0.63,0.07,0.34
SG3137,3137,"October 28, 2021, 12:00:00 AM",00:55,4S/8D,8 High,Krista Ballard,0.56,0.99,0.06,0.87
SG3138,3138,"July 18, 2021, 12:00:00 AM",01:35,7D/JC,A High,Troy Hernandez,0.84,0.04,0.38,0.09
SG3139,3139,"January 01, 2022, 12:00:00 AM",22:35,5D/7C,Pair of 2s,Taylor Crawford,0.36,0.12,0.75,0.93
SG3140,3140,"May 14, 2022, 12:00:00 AM",23:45,10H/4C,10 High,Christian Cook,0.58,0.46,0.49,0.79
SG3141,3141,"November 10, 2021, 12:00:00 AM",08:30,KS/6S,Pair of As,Julie Russell,0.5,0.99,0.55,0.71
SG3142,3142,"September 28, 2021, 12:00:00 AM",11:45,KC/2S,Pair of 2s,Andrea Lopez,0.55,0.26,0.63,0.12
SG3143,3143,"October 02, 2021, 12:00:00 AM",15:05,6H/8H,Pair of 2s,Brian Mcfarland,0.09,0.27,0.02,0.59
SG3144,3144,"April 16, 2022, 12:00:00 AM",04:55,JC/2D,A High,Kelly Wang,0.21,0.12,0.37,0.52
SG3145,3145,"November 18, 2021, 12:00:00 AM",09:20,4S/3H,8 High,Jason Ware,0.32,0.02,0.58,0.02
SG3146,3146,"March 01, 2022, 12:00:00 AM",23:25,4H/QS,8 High,Jennifer Allen,0.33,0.21,0.83,0.27
SG3147,3147,"May 23, 2022, 12:00:00 AM",14:10,4H/9D,Pair of 2s,Erica Walker,0.3,0.84,0.2,0.6
SG3148,3148,"October 14, 2021, 12:00:00 AM",19:45,8D/3D,8 High,Cody Morris,0.42,0.78,0.61,0.85
SG3149,3149,"November 13, 2021, 12:00:00 AM",15:05,3S/6H,10 High,Jennifer Greene,0.03,0.92,0.93,0.5
SG3150,3150,"June 29, 2021, 12:00:00 AM",11:50,7D/9S,Pair of 2s,Kathryn Wilson,0.94,0.84,0.89,0.52
SG3151,3151,"September 29, 2021, 12:00:00 AM",04:00,AS/2C,8 High,Linda Torres,0.31,0.23,0.83,0.29
SG3152,3152,"June 15, 2021, 12:00:00 AM",11:05,5C/QS,Pair of As,Jessica Johnson,0.88,0.22,0.42,0.78
SG3153,3153,"January 07, 2022, 12:00:00 AM",05:55,2D/10H,10 High,Katherine Waters,0.12,0.43,0.51,0.66
SG3154,3154,"March 28, 2022, 12:00:00 AM",11:00,10C/KS,Pair of 2s,Ashley Hahn,0.4,0.18,0.01,0.24
SG3155,3155,"April 16, 2022, 12:00:00 AM",15:25,KS/KH,8 High,Shawn Erickson,0.14,0.49,0.74,0.12
SG3156,3156,"February 21, 2022, 12:00:00 AM",18:10,6H/9C,Pair of 2s,Rhonda West,0.16,0.9,0.96,0.99
SG3157,3157,"March 18, 2022, 12:00:00 AM",12:55,7H/9H,Pair of As,Larry Carey,0.86,0.76,0.81,0.45
SG3158,3158,"December 23, 2021, 12:00:00 AM",15:10,2C/AS,Pair of 2s,Andrea Schwartz,0.86,0.81,0.15,0.06
SG3159,3159,"January 03, 2022, 12:00:00 AM",03:25,9H/6H,Pair of 2s,Timothy Oconnor,0.65,0.03,0.16,0.42
SG3160,3160,"October 17, 2021, 12:00:00 AM",09:40,2C/3H,A High,Karen Moore,0.96,0.43,0.17,0.65
SG3161,3161,"June 26, 2021, 12:00:00 AM",05:20,7D/10C,10 High,Lauren Cardenas,0.77,0.58,0.63,0.04
SG3162,3162,"April 12, 2022, 12:00:00 AM",15:05,6D/QC,A High,Scott Harris,0.08,0.3,0.62,0.02
SG3163,3163,"March 12, 2022, 12:00:00 AM",23:40,8D/AD,10 High,Brian Palmer,1.0,0.35,0.64,0.66
SG3164,3164,"December 02, 2021, 12:00:00 AM",21:00,QD/4H,8 High,David Lutz,0.84,0.99,0.41,0.5
SG3165,3165,"May 03, 2022, 12:00:00 AM",01:10,5C/5S,8 High,Matthew Wright,0.39,0.65,0.01,0.33
SG3166,3166,"August 21, 2021, 12:00:00 AM",17:00,KC/10S,Pair of As,Steven Nelson,0.54,0.44,0.34,0.38
SG3167,3167,"November 07, 2021, 12:00:00 AM",09:50,6H/KS,A High,Neil Hebert,0.42,0.62,0.61,0.32
SG3168,3168,"July 31, 2021, 12:00:00 AM",06:05,6S/5C,Pair of 2s,Tim Matthews,0.34,0.73,0.78,0.14
SG3169,3169,"March 22, 2022, 12:00:00 AM",15:50,10D/9C,Pair of 2s,Tina Ali,0.3,0.28,0.98,0.06
SG3170,3170,"September 05, 2021, 12:00:00 AM",08:30,10D/AC,10 High,Eric Haas,0.62,0.01,0.96,0.16
SG3171,3171,"November 27, 2021, 12:00:00 AM",20:20,9C/7H,A High,Kyle Cook,0.02,1.0,0.46,0.39
SG3172,3172,"April 15, 2022, 12:00:00 AM",22:10,KS/7S,10 High,Beth Ellis DDS,0.34,0.18,0.44,0.63
SG3173,3173,"June 01, 2022, 12:00:00 AM",19:10,5D/6S,10 High,David Robinson,0.01,0.82,0.21,0.22
SG3174,3174,"November 30, 2021, 12:00:00 AM",16:35,8S/10H,Pair of As,Hailey Odonnell,0.13,0.38,0.61,0.64
SG3175,3175,"December 10, 2021, 12:00:00 AM",17:10,QS/6H,A High,Rita Ford,0.81,0.88,0.66,0.54
SG3176,3176,"April 20, 2022, 12:00:00 AM",09:00,KD/KH,10 High,Monica Pena,0.14,0.48,0.37,0.69
SG3177,3177,"September 13, 2021, 12:00:00 AM",03:45,5H/6C,A High,Douglas Smith,0.95,0.77,0.88,0.92
SG3178,3178,"January 01, 2022, 12:00:00 AM",08:40,5C/KH,A High,Erika Lopez,0.86,0.36,0.93,0.44
SG3179,3179,"July 05, 2021, 12:00:00 AM",09:40,4H/4H,Pair of 2s,Craig Martin,0.7,0.43,0.69,0.63
SG3180,3180,"January 28, 2022, 12:00:00 AM",22:45,9S/KH,Pair of 2s,Peggy Booker,0.58,0.87,0.58,0.12
SG3181,3181,"October 07, 2021, 12:00:00 AM",06:50,8C/10C,8 High,Andrew Pierce,0.83,0.05,0.15,0.59
SG3182,3182,"March 30, 2022, 12:00:00 AM",07:05,5S/5S,Pair of As,Sandra Burke,0.08,0.13,0.85,0.93
SG3183,3183,"July 04, 2021, 12:00:00 AM",12:05,3S/5D,Pair of 2s,John Marshall,0.55,0.79,0.09,0.97
SG3184,3184,"May 27, 2022, 12:00:00 AM",10:20,6C/2C,Pair of 2s,Jonathan Alvarez,0.99,0.6,0.37,0.22
SG3185,3185,"September 19, 2021, 12:00:00 AM",16:20,2H/7C,8 High,Emma Good,0.06,0.31,0.07,0.96
SG3186,3186,"September 08, 2021, 12:00:00 AM",08:30,8S/AH,A High,Christopher Johnston,0.3,0.91,0.55,0.86
SG3187,3187,"October 15, 2021, 12:00:00 AM",22:55,7S/QS,10 High,Terry Ali,0.52,0.4,0.87,0.46
SG3188,3188,"October 30, 2021, 12:00:00 AM",18:50,4D/AC,A High,Melanie Fleming,0.05,0.95,0.73,0.81
SG3189,3189,"July 02, 2021, 12:00:00 AM",22:05,5H/AH,8 High,Monica Larson,0.14,0.4,0.55,0.22
SG3190,3190,"July 25, 2021, 12:00:00 AM",06:05,JD/JC,A High,Amber Lewis,0.04,0.3,0.36,0.32
SG3191,3191,"May 07, 2022, 12:00:00 AM",14:05,6S/10H,Pair of 2s,Jacob Clark,0.59,0.36,0.99,0.39
SG3192,3192,"June 30, 2021, 12:00:00 AM",01:25,KC/8H,10 High,Rebecca Davidson,0.36,0.93,0.98,0.52
SG3193,3193,"October 14, 2021, 12:00:00 AM",11:25,7H/QS,Pair of As,Ashley Wiley,0.24,0.8,0.26,0.47
SG3194,3194,"October 22, 2021, 12:00:00 AM",09:50,10C/KC,Pair of 2s,Kathryn Thompson,0.28,0.26,0.2,0.01
SG3195,3195,"October 05, 2021, 12:00:00 AM",14:30,JH/JS,Pair of 2s,Vanessa Page,0.45,0.63,0.38,0.41
SG3196,3196,"February 05, 2022, 12:00:00 AM",12:25,KS/3C,A High,Leslie Taylor,0.29,0.75,0.53,0.52
SG3197,3197,"June 20, 2021, 12:00:00 AM",20:15,2C/3H,8 High,Timothy Jones,0.25,0.64,0.95,0.48
SG3198,3198,"February 06, 2022, 12:00:00 AM",06:30,6C/9S,10 High,David Lopez,0.77,0.69,0.51,0.23
SG3199,3199,"March 26, 2022, 12:00:00 AM",11:20,JH/JH,Pair of 2s,Michael Cohen,0.59,0.87,0.85,0.89
SG3200,3200,"October 21, 2021, 12:00:00 AM",09:15,10S/10C,10 High,Daniel Murphy,0.76,0.01,0.97,0.93
SG3201,3201,"August 13, 2021, 12:00:00 AM",16:15,AC/3C,Pair of As,Chad Barber Jr.,0.12,0.97,0.49,0.79
SG3202,3202,"January 12, 2022, 12:00:00 AM",02:15,2S/9C,Pair of 2s,Virginia Mack,0.87,0.52,0.65,0.84
SG3203,3203,"September 07, 2021, 12:00:00 AM",22:45,JH/9D,Pair of 2s,Kristina Hawkins,0.78,0.96,0.65,0.06
SG3204,3204,"May 17, 2022, 12:00:00 AM",12:05,JC/6D,A High,Amber Smith,0.63,0.95,0.84,0.34
SG3205,3205,"January 24, 2022, 12:00:00 AM",22:10,6H/8H,Pair of 2s,Greg Jones,0.07,0.63,0.19,0.12
SG3206,3206,"August 04, 2021, 12:00:00 AM",17:10,QD/4D,8 High,Sherri Khan,0.79,0.68,0.75,0.15
SG3207,3207,"October 25, 2021, 12:00:00 AM",02:35,8D/2D,10 High,Wendy Richardson,0.35,0.68,0.96,0.06
SG3208,3208,"September 28, 2021, 12:00:00 AM",01:00,QS/5D,Pair of As,Destiny Boone,0.44,0.48,0.81,0.74
SG3209,3209,"April 12, 2022, 12:00:00 AM",03:00,10H/2H,A High,Amanda Bauer,0.82,0.09,0.64,0.7
SG3210,3210,"June 26, 2021, 12:00:00 AM",05:25,3H/JH,Pair of 2s,Jorge Johns,0.45,0.43,0.64,0.49
SG3211,3211,"February 10, 2022, 12:00:00 AM",07:15,5S/3S,A High,Randy Petersen,0.79,0.53,0.29,0.62
SG3212,3212,"June 27, 2021, 12:00:00 AM",05:50,4C/10D,A High,Ricky Martinez,0.63,0.33,0.5,0.2
SG3213,3213,"August 03, 2021, 12:00:00 AM",00:00,JS/4D,10 High,Daniel Mayo,0.7,0.39,0.6,0.06
SG3214,3214,"April 07, 2022, 12:00:00 AM",07:50,AC/4C,8 High,Michael Owen,0.77,0.24,0.78,0.84
SG3215,3215,"February 21, 2022, 12:00:00 AM",09:40,10C/7C,A High,Jack Warner,0.58,0.26,0.77,0.16
SG3216,3216,"December 27, 2021, 12:00:00 AM",08:50,9C/AS,10 High,James Harrington,0.7,0.84,0.28,0.13
SG3217,3217,"December 29, 2021, 12:00:00 AM",06:15,8C/5C,Pair of As,Kathleen Hopkins,0.16,0.22,0.64,0.2
SG3218,3218,"September 30, 2021, 12:00:00 AM",10:10,QS/AC,10 High,Brittany Jimenez,0.16,0.86,0.84,0.74
SG3219,3219,"May 08, 2022, 12:00:00 AM",14:35,AD/7D,Pair of As,Daniel Thomas,0.31,0.02,0.98,0.95
SG3220,3220,"November 10, 2021, 12:00:00 AM",06:45,7H/8D,10 High,Holly Williams,0.85,0.55,0.01,0.95
SG3221,3221,"February 22, 2022, 12:00:00 AM",03:45,KH/9S,8 High,Joann Lopez,0.36,0.97,0.95,0.57
SG3222,3222,"December 03, 2021, 12:00:00 AM",00:25,7D/2C,A High,Michael Pugh,0.2,0.91,0.45,0.13
SG3223,3223,"December 17, 2021, 12:00:00 AM",00:00,10H/5C,Pair of 2s,Brandy Taylor,0.49,0.65,0.41,0.96
SG3224,3224,"January 02, 2022, 12:00:00 AM",11:15,JH/JH,8 High,Carla Chan,0.04,0.83,0.89,0.1
SG3225,3225,"March 19, 2022, 12:00:00 AM",19:00,3D/2C,Pair of 2s,Joseph Thompson,0.12,0.53,0.03,0.21
SG3226,3226,"February 18, 2022, 12:00:00 AM",10:00,10D/4H,8 High,Kenneth Ewing,0.24,0.14,1.0,0.84
SG3227,3227,"March 13, 2022, 12:00:00 AM",01:55,KS/KD,Pair of 2s,Leah Garcia,0.65,0.58,0.64,0.9
SG3228,3228,"June 06, 2021, 12:00:00 AM",15:15,2S/4D,Pair of 2s,John Gonzalez,0.42,0.41,0.51,0.41
SG3229,3229,"January 01, 2022, 12:00:00 AM",15:45,8S/2S,Pair of As,Samantha Jones,0.64,0.35,0.42,0.91
SG3230,3230,"March 30, 2022, 12:00:00 AM",17:45,10D/AS,8 High,Michael Smith,0.97,0.97,0.84,0.09
SG3231,3231,"September 18, 2021, 12:00:00 AM",22:55,9H/5S,10 High,Chelsea Thompson,0.81,0.85,0.25,0.88
SG3232,3232,"August 19, 2021, 12:00:00 AM",07:25,KS/6S,Pair of 2s,Maria Freeman,0.38,0.23,0.91,0.62
SG3233,3233,"January 06, 2022, 12:00:00 AM",12:15,4C/6S,Pair of As,Tyler Wilson,0.87,0.89,0.21,0.23
SG3234,3234,"November 20, 2021, 12:00:00 AM",19:15,KH/7H,8 High,Suzanne Williams,0.76,0.39,0.51,0.67
SG3235,3235,"February 01, 2022, 12:00:00 AM",11:10,7H/8C,8 High,Stephen Beard,0.23,0.79,0.39,0.6
SG3236,3236,"March 25, 2022, 12:00:00 AM",14:40,JS/2D,8 High,Lori Carter,0.15,0.51,0.63,0.68
SG3237,3237,"September 03, 2021, 12:00:00 AM",08:40,QS/10H,10 High,Robin Bryant,0.66,0.29,0.91,0.49
SG3238,3238,"September 04, 2021, 12:00:00 AM",06:20,2C/8C,Pair of 2s,Nicole Brooks,0.73,0.49,0.97,0.48
SG3239,3239,"November 01, 2021, 12:00:00 AM",17:15,10S/2S,Pair of 2s,Justin Friedman,0.24,0.25,0.65,0.79
SG3240,3240,"November 11, 2021, 12:00:00 AM",05:20,10S/5S,A High,Maria Kennedy,0.3,0.92,0.87,0.6
SG3241,3241,"October 23, 2021, 12:00:00 AM",06:30,2C/4C,8 High,Omar Steele,0.04,0.96,0.07,0.22
SG3242,3242,"September 29, 2021, 12:00:00 AM",04:00,2H/6S,Pair of 2s,Kenneth Bishop,0.75,0.26,0.62,0.94
SG3243,3243,"August 21, 2021, 12:00:00 AM",20:05,8S/7C,10 High,Howard Gonzales,0.54,0.81,0.3,0.96
SG3244,3244,"November 22, 2021, 12:00:00 AM",22:35,7S/2H,A High,Melissa Williams,0.03,0.28,0.28,0.96
SG3245,3245,"May 06, 2022, 12:00:00 AM",15:20,5S/8H,A High,Sean Landry,0.75,0.07,0.21,0.77
SG3246,3246,"January 30, 2022, 12:00:00 AM",19:40,JS/10H,Pair of 2s,Jennifer Cochran,0.11,0.13,0.68,0.46
SG3247,3247,"October 12, 2021, 12:00:00 AM",22:55,6D/8H,8 High,Carol Mayer,0.42,0.99,0.6,0.18
SG3248,3248,"February 20, 2022, 12:00:00 AM",17:35,KH/9C,10 High,Tina Morales,0.64,0.84,0.49,0.96
SG3249,3249,"June 13, 2021, 12:00:00 AM",12:40,JC/6C,Pair of As,Ronald Stanley,0.25,0.62,0.53,0.38
SG3250,3250,"May 23, 2022, 12:00:00 AM",11:35,KS/2S,A High,Patricia Higgins,0.85,0.08,0.51,0.42
SG3251,3251,"March 06, 2022, 12:00:00 AM",13:40,QD/3H,8 High,Mark Davis,0.9,0.57,0.94,0.8
SG3252,3252,"June 26, 2021, 12:00:00 AM",06:55,3H/6C,A High,Amber Phillips,0.92,0.4,0.73,0.82
SG3253,3253,"January 16, 2022, 12:00:00 AM",15:15,AD/AC,8 High,John Medina,0.75,0.02,0.26,0.49
SG3254,3254,"July 23, 2021, 12:00:00 AM",00:30,5D/4C,10 High,Stacey Hernandez,0.36,0.58,0.13,0.89
SG3255,3255,"February 02, 2022, 12:00:00 AM",19:35,2C/JH,8 High,Glenn Edwards,0.23,0.5,0.22,0.99
SG3256,3256,"June 12, 2021, 12:00:00 AM",17:00,QS/3D,8 High,Scott Boyd,0.36,0.17,0.4,0.19
SG3257,3257,"July 18, 2021, 12:00:00 AM",00:45,9S/6C,10 High,Kristin Graham,0.14,0.27,0.16,0.53
SG3258,3258,"November 03, 2021, 12:00:00 AM",15:40,10C/10H,Pair of As,Daniel Trujillo,0.52,0.15,0.23,0.16
SG3259,3259,"June 09, 2021, 12:00:00 AM",13:20,7S/6D,8 High,Heidi Ballard,0.95,0.13,0.22,0.15
SG3260,3260,"March 20, 2022, 12:00:00 AM",18:05,QD/2D,Pair of 2s,Travis Frank,0.8,0.64,0.4,0.6
SG3261,3261,"September 07, 2021, 12:00:00 AM",09:15,6H/8H,8 High,Derrick Ross,0.9,0.67,0.97,0.88
SG3262,3262,"June 29, 2021, 12:00:00 AM",20:10,9H/8C,8 High,John Hill,0.41,0.24,0.89,0.51
SG3263,3263,"November 14, 2021, 12:00:00 AM",16:40,8S/6D,10 High,Zachary Burns,0.06,0.75,0.93,0.1
SG3264,3264,"January 19, 2022, 12:00:00 AM",02:15,QH/2H,Pair of As,Heather Orozco,0.22,0.95,0.26,0.22
SG3265,3265,"April 02, 2022, 12:00:00 AM",20:55,8C/QH,Pair of 2s,Zachary Moreno,0.01,0.18,0.69,0.8
SG3266,3266,"July 26, 2021, 12:00:00 AM",02:20,JD/4D,8 High,Maria Harris,0.53,0.34,0.53,0.69
SG3267,3267,"April 15, 2022, 12:00:00 AM",20:05,6C/2S,Pair of As,Jesse Long,0.16,0.18,0.19,0.03
SG3268,3268,"March 01, 2022, 12:00:00 AM",02:05,KC/9S,Pair of As,Joel White,0.02,0.57,0.13,0.6
SG3269,3269,"December 27, 2021, 12:00:00 AM",19:10,2S/10H,A High,Michelle Patel,0.05,0.91,0.48,0.13
SG3270,3270,"March 01, 2022, 12:00:00 AM",16:20,4S/7H,Pair of 2s,Adrian Carr,0.02,0.73,0.85,0.66
SG3271,3271,"February 23, 2022, 12:00:00 AM",16:20,4H/8H,Pair of 2s,Jake Chase,0.01,0.28,0.27,0.12
SG3272,3272,"November 17, 2021, 12:00:00 AM",23:55,7H/KC,8 High,Lisa Mcdonald,0.22,0.22,0.22,0.81
SG3273,3273,"November 12, 2021, 12:00:00 AM",12:45,3C/7S,8 High,Terry Mercado,0.26,0.92,0.98,0.17
SG3274,3274,"April 10, 2022, 12:00:00 AM",01:55,8S/JC,8 High,Sarah Perez,0.94,0.2,0.53,0.09
SG3275,3275,"November 14, 2021, 12:00:00 AM",21:55,JC/10C,10 High,Jaime Flores,0.05,0.99,0.54,0.58
SG3276,3276,"July 19, 2021, 12:00:00 AM",18:35,AC/AH,8 High,Nancy Woods,0.6,0.73,0.9,0.86
SG3277,3277,"November 25, 2021, 12:00:00 AM",11:20,5D/9H,Pair of As,Mallory Stark,0.34,0.24,0.02,0.47
SG3278,3278,"July 07, 2021, 12:00:00 AM",16:35,3C/2D,8 High,Charles Mann,0.48,0.11,0.73,0.75
SG3279,3279,"December 07, 2021, 12:00:00 AM",22:55,AS/KC,10 High,Lisa Jones,0.56,0.2,0.69,0.95
SG3280,3280,"May 12, 2022, 12:00:00 AM",04:40,3D/JD,10 High,David Daugherty,0.93,0.03,0.68,0.28
SG3281,3281,"August 23, 2021, 12:00:00 AM",00:45,5H/3H,8 High,Charles Moore,0.37,0.65,0.18,0.49
SG3282,3282,"July 06, 2021, 12:00:00 AM",14:40,KD/JC,Pair of 2s,Kristen Nelson,0.41,0.02,0.55,0.02
SG3283,3283,"August 01, 2021, 12:00:00 AM",04:00,2H/JH,Pair of 2s,April Jennings,0.19,0.4,0.82,0.91
SG3284,3284,"October 01, 2021, 12:00:00 AM",14:35,9H/JC,A High,Joseph James,0.63,0.7,0.44,0.36
SG3285,3285,"September 07, 2021, 12:00:00 AM",19:45,6D/3H,10 High,Gregory Warner,0.55,0.81,0.55,0.4
SG3286,3286,"July 02, 2021, 12:00:00 AM",13:45,3C/QS,Pair of As,David Griffin,0.73,0.96,0.73,0.15
SG3287,3287,"November 16, 2021, 12:00:00 AM",02:35,2H/8S,Pair of 2s,Mark Hill,0.81,0.16,0.42,0.16
SG3288,3288,"March 05, 2022, 12:00:00 AM",09:40,KH/AS,Pair of 2s,Jordan Ramirez,0.65,0.53,0.98,0.01
SG3289,3289,"January 28, 2022, 12:00:00 AM",18:20,5D/4C,Pair of 2s,Rodney Schroeder,0.32,0.86,0.49,0.59
SG3290,3290,"April 04, 2022, 12:00:00 AM",19:50,3S/3C,Pair of 2s,Patrick Barrett,0.28,0.97,0.99,0.43
SG3291,3291,"April 28, 2022, 12:00:00 AM",09:25,KH/3C,Pair of As,Matthew Morgan,0.2,0.73,0.82,0.77
SG3292,3292,"April 07, 2022, 12:00:00 AM",23:40,AS/2D,Pair of 2s,William Henderson II,0.65,0.81,0.65,0.72
SG3293,3293,"August 22, 2021, 12:00:00 AM",12:25,4D/AS,10 High,Timothy Blair,0.54,0.13,0.83,0.13
SG3294,3294,"December 26, 2021, 12:00:00 AM",09:50,JD/4H,A High,Mr. John Singleton MD,0.85,0.73,0.81,0.35
